ch,hand,digit,shifted,row,col
1,L,4,0,2,1
!,L,4,1,2,1
q,L,4,0,1,1
Q,L,4,1,1,1
a,L,4,0,0,1
A,L,4,1,0,1
z,L,4,0,-1,1
Z,L,4,1,-1,1
2,L,3,0,2,2
@,L,3,1,2,2
w,L,3,0,1,2
W,L,3,1,1,2
r,L,3,0,0,2
R,L,3,1,0,2
x,L,3,0,-1,2
X,L,3,1,-1,2
3,L,2,0,2,3
#,L,2,1,2,3
f,L,2,0,1,3
F,L,2,1,1,3
s,L,2,0,0,3
S,L,2,1,0,3
c,L,2,0,-1,3
C,L,2,1,-1,3
4,L,1,0,2,4
$,L,1,1,2,4
p,L,1,0,1,4
P,L,1,1,1,4
t,L,1,0,0,4
T,L,1,1,0,4
v,L,1,0,-1,4
V,L,1,1,-1,4
5,L,1,0,2,5
%,L,1,1,2,5
g,L,1,0,1,5
G,L,1,1,1,5
d,L,1,0,0,5
D,L,1,1,0,5
b,L,1,0,-1,5
B,L,1,1,-1,5
6,R,1,0,2,6
^,R,1,1,2,6
j,R,1,0,1,6
J,R,1,1,1,6
h,R,1,0,0,6
H,R,1,1,0,6
k,R,1,0,-1,6
K,R,1,1,-1,6
7,R,1,0,2,7
&,R,1,1,2,7
l,R,1,0,1,7
L,R,1,1,1,7
n,R,1,0,0,7
N,R,1,1,0,7
m,R,1,0,-1,7
M,R,1,1,-1,7
8,R,2,0,2,8
*,R,2,1,2,8
u,R,2,0,1,8
U,R,2,1,1,8
e,R,2,0,0,8
E,R,2,1,0,8
",",R,2,0,-1,8
<,R,2,1,-1,8
9,R,3,0,2,9
(,R,3,1,2,9
y,R,3,0,1,9
Y,R,3,1,1,9
i,R,3,0,0,9
I,R,3,1,0,9
.,R,3,0,-1,9
>,R,3,1,-1,9
0,R,4,0,2,10
),R,4,1,2,10
;,R,4,0,1,10
:,R,4,1,1,10
o,R,4,0,0,10
O,R,4,1,0,10
/,R,4,0,-1,10
?,R,4,1,-1,10
-,R,4,0,2,11
_,R,4,1,2,11
[,R,4,0,1,11
{,R,4,1,1,11
',R,4,0,0,11
,R,4,1,0,11
=,R,4,0,2,12
+,R,4,1,2,12
],R,4,0,1,12
},R,4,1,1,12
|,R,4,1,1,13
~,L,4,1,2,0
,R,4,0,2,13
 ,R,0,0,-2,-1